product_title,product_vendor,product_type,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
"L'Oreal Paris- Super Liner Gel Intenza, Pure Black",L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,4,6296,-122.71,0,6173.29,0,6173.29
L'Oreal Paris True Match Blush - 165 Rose Bonne,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,31,44059.3,0,0,44059.3,0,44059.3
L'Oreal Paris- Infallible 24H Matte Cover Liquid Foundation - 30 Light Ivory,L'Oreal CPD,L'Oreal Paris Makeup,6.9024E+12,1,1000,0,0,1000,0,1000
LOreal Paris Infallible 24H Matte Cover Liquid Foundation - 110 Rose Vanilla,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,76,84076,0,0,84076,0,84076
Maybelline New York- Superstay Matte Ink Liquid Lipstick 110 Bricks Orig,L'Oreal CPD,Maybelline New York,3.60053E+12,4,4497.3,-1169,0,3328.3,0,3328.3
L'Oreal Paris- Infallible 24H Matte Cover Liquid Foundation - 125 Natural Rose,L'Oreal CPD,L'Oreal Paris Makeup,6.9024E+12,21,22295,0,0,22295,0,22295
L'Oreal Paris- Color Riche Moisture Matte Lipstick 202 Maple Mocha,L'Oreal CPD,L'Oreal Paris Makeup,6.9024E+12,1,989.4,0,0,989.4,0,989.4
LOreal Paris- True Match Liquid Foundation 3C Rose Beige,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,2,4898.25,0,0,4898.25,0,4898.25
LOreal Paris- True Match Powder- 3.R/3.C Beige,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,6,12422.25,0,0,12422.25,0,12422.25
L'Oreal Paris- Rouge Signature 112 Achieve,L'Oreal CPD,L'Oreal Paris Makeup,6.9024E+12,2,2999.3,-175,0,2824.3,0,2824.3
LOreal Paris Infallible 24H Matte Cover Liquid Foundation - 145 Rose Beige,L'Oreal CPD,LOreal Paris Makeup,3.60052E+12,9,9898.05,0,0,9898.05,0,9898.05
NYX Professional Makeup- Soft Matte Lip Cream 01 Amsterdam,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,7,5192.75,0,0,5192.75,0,5192.75
Garnier- Skin Active Light Complete Day Cream 40ml - For Brighter Skin,L'Oreal CPD,Garnier,3.61034E+12,206,22292.2,-404.28,0,21887.92,0,21887.92
Maybelline New York- Color Sensational Creamy Matte Lipstick - 695 Divine Wine,L'Oreal CPD,Maybelline New York,41554429961,5,4197,-117.52,0,4079.48,0,4079.48
NYX Professional Makeup- Total Control Drop Foundation - Golden,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,4,7556,0,0,7556,0,7556
"Garnier- Skin Active Hydra Bomb Orange Tissue Eye Mask, Cooling Effect 6g",L'Oreal CPD,Garnier,3.60054E+12,62,15438,-249,0,15189,0,15189
Maybelline New York- Face Studio Master Contour V - 01 Light,L'Oreal CPD,Maybelline New York,3.60053E+12,23,28888.9,-699.6,-2299,25890.3,0,25890.3
L'Oreal Paris- Infallible Powder 160 Sand Beige,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,-2,0,0,-3700,-3700,0,-3700
Maybelline New York- Sensational Liquid Matte Lipstick - 06 Best Babe,L'Oreal CPD,Maybelline New York,6.9024E+12,203,85018.6,-823.68,-800,83394.92,0,83394.92
Maybelline New York- Color Sensational Creamy Matte 975 Divine Wine,L'Oreal CPD,Maybelline New York,6.9024E+12,143,51581.45,-575.68,0,51005.77,0,51005.77
"LOreal Paris- Color Riche Matte Addiction Lipstick - 0.17 oz, 430 Mon Jules",L'Oreal CPD,LOreal Paris Makeup,3.60052E+12,3,2885,0,0,2885,0,2885
"L'Oreal Paris- Waterproof Makeup Remover Eye & Lips, 125 ml",L'Oreal CPD,L'Oreal Paris Makeup,3610340028502-1,1,699,0,0,699,0,699
L'Oreal- Paris Excellence Creme - 6.1 Dark Ash Blonde Hair Color,L'Oreal CPD,L'Oreal Paris,3.60052E+12,25,29225,-785.32,0,28439.68,0,28439.68
L'Oreal Paris- Color Riche Naked Tans 247 Shot of Sun,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,0,825,0,-825,0,0,0
L'Oreal Paris- Infallible Mattifying Primer Base - 35 ml,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,33,42748.4,-525,0,42223.4,0,42223.4
